1 epoch, LR 0.001000, LOSS 9.375854, ACC 3.85%, EER 5.93%, minDCF 0.3691%, bestEER 5.93%, bestminDCF 0.3691%
43 epoch, LR 0.000278, LOSS 2.202702, ACC 59.33%, EER 1.33%, minDCF 0.0875%, bestEER 1.33%, bestminDCF 0.0864%
44 epoch, LR 0.000270, LOSS 2.184365, ACC 59.64%, EER 1.22%, minDCF 0.0817%, bestEER 1.22%, bestminDCF 0.0817%
45 epoch, LR 0.000262, LOSS 2.165867, ACC 59.93%, EER 1.28%, minDCF 0.0767%, bestEER 1.22%, bestminDCF 0.0767%
46 epoch, LR 0.000254, LOSS 2.147537, ACC 60.30%, EER 1.29%, minDCF 0.0858%, bestEER 1.22%, bestminDCF 0.0767%
47 epoch, LR 0.000246, LOSS 2.133037, ACC 60.57%, EER 1.29%, minDCF 0.0813%, bestEER 1.22%, bestminDCF 0.0767%
48 epoch, LR 0.000239, LOSS 2.113317, ACC 60.92%, EER 1.22%, minDCF 0.0805%, bestEER 1.22%, bestminDCF 0.0767%
49 epoch, LR 0.000232, LOSS 2.099360, ACC 61.10%, EER 1.15%, minDCF 0.0768%, bestEER 1.15%, bestminDCF 0.0767%
50 epoch, LR 0.000225, LOSS 2.081448, ACC 61.47%, EER 1.32%, minDCF 0.0828%, bestEER 1.15%, bestminDCF 0.0767%
51 epoch, LR 0.000218, LOSS 2.066822, ACC 61.66%, EER 1.29%, minDCF 0.0809%, bestEER 1.15%, bestminDCF 0.0767%
52 epoch, LR 0.000212, LOSS 2.051988, ACC 61.97%, EER 1.33%, minDCF 0.0969%, bestEER 1.15%, bestminDCF 0.0767%
53 epoch, LR 0.000205, LOSS 2.035710, ACC 62.22%, EER 1.19%, minDCF 0.0841%, bestEER 1.15%, bestminDCF 0.0767%
54 epoch, LR 0.000199, LOSS 2.023377, ACC 62.47%, EER 1.28%, minDCF 0.0848%, bestEER 1.15%, bestminDCF 0.0767%
55 epoch, LR 0.000193, LOSS 2.004740, ACC 62.74%, EER 1.24%, minDCF 0.0842%, bestEER 1.15%, bestminDCF 0.0767%
56 epoch, LR 0.000187, LOSS 1.995175, ACC 62.93%, EER 1.25%, minDCF 0.0754%, bestEER 1.15%, bestminDCF 0.0754%
57 epoch, LR 0.000182, LOSS 1.980501, ACC 63.23%, EER 1.16%, minDCF 0.0735%, bestEER 1.15%, bestminDCF 0.0735%
58 epoch, LR 0.000176, LOSS 1.965952, ACC 63.46%, EER 1.20%, minDCF 0.0799%, bestEER 1.15%, bestminDCF 0.0735%
59 epoch, LR 0.000171, LOSS 1.952578, ACC 63.73%, EER 1.19%, minDCF 0.0830%, bestEER 1.15%, bestminDCF 0.0735%
60 epoch, LR 0.000166, LOSS 1.940830, ACC 63.95%, EER 1.17%, minDCF 0.0692%, bestEER 1.15%, bestminDCF 0.0692%
61 epoch, LR 0.000161, LOSS 1.924669, ACC 64.24%, EER 1.13%, minDCF 0.0723%, bestEER 1.13%, bestminDCF 0.0692%
62 epoch, LR 0.000156, LOSS 1.913922, ACC 64.43%, EER 1.13%, minDCF 0.0759%, bestEER 1.13%, bestminDCF 0.0692%
63 epoch, LR 0.000151, LOSS 1.901937, ACC 64.63%, EER 1.22%, minDCF 0.0842%, bestEER 1.13%, bestminDCF 0.0692%
64 epoch, LR 0.000147, LOSS 1.889093, ACC 64.90%, EER 1.15%, minDCF 0.0795%, bestEER 1.13%, bestminDCF 0.0692%
65 epoch, LR 0.000142, LOSS 1.875241, ACC 65.09%, EER 1.28%, minDCF 0.0862%, bestEER 1.13%, bestminDCF 0.0692%
66 epoch, LR 0.000138, LOSS 1.860793, ACC 65.35%, EER 1.10%, minDCF 0.0728%, bestEER 1.10%, bestminDCF 0.0692%
67 epoch, LR 0.000134, LOSS 1.849498, ACC 65.55%, EER 1.19%, minDCF 0.0757%, bestEER 1.10%, bestminDCF 0.0692%
68 epoch, LR 0.000130, LOSS 1.842992, ACC 65.68%, EER 1.10%, minDCF 0.0710%, bestEER 1.10%, bestminDCF 0.0692%
69 epoch, LR 0.000126, LOSS 1.827614, ACC 66.00%, EER 1.16%, minDCF 0.0732%, bestEER 1.10%, bestminDCF 0.0692%
70 epoch, LR 0.000122, LOSS 1.820952, ACC 66.12%, EER 1.11%, minDCF 0.0796%, bestEER 1.10%, bestminDCF 0.0692%
71 epoch, LR 0.000119, LOSS 1.809671, ACC 66.34%, EER 1.07%, minDCF 0.0749%, bestEER 1.07%, bestminDCF 0.0692%
72 epoch, LR 0.000115, LOSS 1.797984, ACC 66.51%, EER 1.19%, minDCF 0.0696%, bestEER 1.07%, bestminDCF 0.0692%
73 epoch, LR 0.000112, LOSS 1.784922, ACC 66.72%, EER 1.08%, minDCF 0.0709%, bestEER 1.07%, bestminDCF 0.0692%
74 epoch, LR 0.000108, LOSS 1.775181, ACC 66.86%, EER 1.17%, minDCF 0.0783%, bestEER 1.07%, bestminDCF 0.0692%
75 epoch, LR 0.000105, LOSS 1.764587, ACC 67.10%, EER 1.08%, minDCF 0.0715%, bestEER 1.07%, bestminDCF 0.0692%
76 epoch, LR 0.000102, LOSS 1.754456, ACC 67.31%, EER 1.12%, minDCF 0.0791%, bestEER 1.07%, bestminDCF 0.0692%
77 epoch, LR 0.000099, LOSS 1.749405, ACC 67.39%, EER 1.04%, minDCF 0.0700%, bestEER 1.04%, bestminDCF 0.0692%
78 epoch, LR 0.000096, LOSS 1.738270, ACC 67.59%, EER 1.08%, minDCF 0.0712%, bestEER 1.04%, bestminDCF 0.0692%
79 epoch, LR 0.000093, LOSS 1.727438, ACC 67.80%, EER 1.13%, minDCF 0.0739%, bestEER 1.04%, bestminDCF 0.0692%
80 epoch, LR 0.000090, LOSS 1.720553, ACC 67.98%, EER 1.08%, minDCF 0.0738%, bestEER 1.04%, bestminDCF 0.0692%
