1 epoch, LR 0.001000, LOSS 8.937217, ACC 4.86%, EER 5.24%, minDCF 0.3388%, bestEER 5.24%, bestminDCF 0.3388%
67 epoch, LR 0.000134, LOSS 2.164136, ACC 60.01%, EER 1.33%, minDCF 0.0855%, bestEER 1.33%, bestminDCF 0.0833%
68 epoch, LR 0.000130, LOSS 2.152005, ACC 60.22%, EER 1.36%, minDCF 0.0879%, bestEER 1.33%, bestminDCF 0.0833%
69 epoch, LR 0.000126, LOSS 2.145259, ACC 60.42%, EER 1.31%, minDCF 0.0840%, bestEER 1.31%, bestminDCF 0.0833%
70 epoch, LR 0.000122, LOSS 2.133149, ACC 60.54%, EER 1.31%, minDCF 0.0835%, bestEER 1.31%, bestminDCF 0.0833%
71 epoch, LR 0.000119, LOSS 2.121233, ACC 60.78%, EER 1.32%, minDCF 0.0833%, bestEER 1.31%, bestminDCF 0.0833%
72 epoch, LR 0.000115, LOSS 2.110449, ACC 61.03%, EER 1.32%, minDCF 0.0827%, bestEER 1.31%, bestminDCF 0.0827%
73 epoch, LR 0.000112, LOSS 2.106109, ACC 61.04%, EER 1.33%, minDCF 0.0866%, bestEER 1.31%, bestminDCF 0.0827%
74 epoch, LR 0.000108, LOSS 2.090874, ACC 61.34%, EER 1.29%, minDCF 0.0858%, bestEER 1.29%, bestminDCF 0.0827%
75 epoch, LR 0.000105, LOSS 2.081609, ACC 61.46%, EER 1.25%, minDCF 0.0847%, bestEER 1.25%, bestminDCF 0.0827%
76 epoch, LR 0.000102, LOSS 2.073001, ACC 61.64%, EER 1.29%, minDCF 0.0829%, bestEER 1.25%, bestminDCF 0.0827%
77 epoch, LR 0.000099, LOSS 2.065380, ACC 61.73%, EER 1.28%, minDCF 0.0830%, bestEER 1.25%, bestminDCF 0.0827%
78 epoch, LR 0.000096, LOSS 2.054572, ACC 61.96%, EER 1.31%, minDCF 0.0883%, bestEER 1.25%, bestminDCF 0.0827%
79 epoch, LR 0.000093, LOSS 2.044368, ACC 62.09%, EER 1.28%, minDCF 0.0821%, bestEER 1.25%, bestminDCF 0.0821%
80 epoch, LR 0.000090, LOSS 2.039678, ACC 62.23%, EER 1.29%, minDCF 0.0825%, bestEER 1.25%, bestminDCF 0.0821%
