1 epoch, LR 0.001000, LOSS 8.937217, ACC 4.86%, EER 5.24%, minDCF 0.3388%, bestEER 5.24%, bestminDCF 0.3388%
2 epoch, LR 0.000970, LOSS 5.513773, ACC 17.20%, EER 3.71%, minDCF 0.2600%, bestEER 3.71%, bestminDCF 0.2600%
3 epoch, LR 0.000941, LOSS 4.732373, ACC 24.14%, EER 3.14%, minDCF 0.1991%, bestEER 3.14%, bestminDCF 0.1991%
4 epoch, LR 0.000913, LOSS 4.334399, ACC 28.40%, EER 3.06%, minDCF 0.2166%, bestEER 3.06%, bestminDCF 0.1991%
5 epoch, LR 0.000885, LOSS 4.081163, ACC 31.45%, EER 2.72%, minDCF 0.1862%, bestEER 2.72%, bestminDCF 0.1862%
6 epoch, LR 0.000859, LOSS 3.900133, ACC 33.70%, EER 2.80%, minDCF 0.1762%, bestEER 2.72%, bestminDCF 0.1762%
7 epoch, LR 0.000833, LOSS 3.771712, ACC 35.32%, EER 2.40%, minDCF 0.1560%, bestEER 2.40%, bestminDCF 0.1560%
8 epoch, LR 0.000808, LOSS 3.662922, ACC 36.83%, EER 2.58%, minDCF 0.1755%, bestEER 2.40%, bestminDCF 0.1560%
9 epoch, LR 0.000784, LOSS 3.576235, ACC 38.00%, EER 2.72%, minDCF 0.1682%, bestEER 2.40%, bestminDCF 0.1560%
10 epoch, LR 0.000760, LOSS 3.497911, ACC 39.07%, EER 2.35%, minDCF 0.1468%, bestEER 2.35%, bestminDCF 0.1468%
11 epoch, LR 0.000737, LOSS 3.430028, ACC 39.99%, EER 2.26%, minDCF 0.1394%, bestEER 2.26%, bestminDCF 0.1394%
12 epoch, LR 0.000715, LOSS 3.374344, ACC 40.90%, EER 2.26%, minDCF 0.1430%, bestEER 2.26%, bestminDCF 0.1394%
13 epoch, LR 0.000694, LOSS 3.316619, ACC 41.65%, EER 2.40%, minDCF 0.1447%, bestEER 2.26%, bestminDCF 0.1394%
14 epoch, LR 0.000673, LOSS 3.270088, ACC 42.31%, EER 1.85%, minDCF 0.1257%, bestEER 1.85%, bestminDCF 0.1257%
15 epoch, LR 0.000653, LOSS 3.225500, ACC 43.00%, EER 2.10%, minDCF 0.1353%, bestEER 1.85%, bestminDCF 0.1257%
16 epoch, LR 0.000633, LOSS 3.181073, ACC 43.64%, EER 1.98%, minDCF 0.1350%, bestEER 1.85%, bestminDCF 0.1257%
17 epoch, LR 0.000614, LOSS 3.144552, ACC 44.22%, EER 2.11%, minDCF 0.1308%, bestEER 1.85%, bestminDCF 0.1257%
18 epoch, LR 0.000596, LOSS 3.104404, ACC 44.78%, EER 2.02%, minDCF 0.1311%, bestEER 1.85%, bestminDCF 0.1257%
19 epoch, LR 0.000578, LOSS 3.068051, ACC 45.37%, EER 1.86%, minDCF 0.1161%, bestEER 1.85%, bestminDCF 0.1161%
20 epoch, LR 0.000561, LOSS 3.036773, ACC 45.79%, EER 1.99%, minDCF 0.1238%, bestEER 1.85%, bestminDCF 0.1161%
21 epoch, LR 0.000544, LOSS 3.002208, ACC 46.32%, EER 1.98%, minDCF 0.1207%, bestEER 1.85%, bestminDCF 0.1161%
22 epoch, LR 0.000527, LOSS 2.971089, ACC 46.81%, EER 1.94%, minDCF 0.1217%, bestEER 1.85%, bestminDCF 0.1161%
23 epoch, LR 0.000512, LOSS 2.940818, ACC 47.25%, EER 1.72%, minDCF 0.1075%, bestEER 1.72%, bestminDCF 0.1075%
24 epoch, LR 0.000496, LOSS 2.907413, ACC 47.75%, EER 1.74%, minDCF 0.1164%, bestEER 1.72%, bestminDCF 0.1075%
25 epoch, LR 0.000481, LOSS 2.880763, ACC 48.15%, EER 1.79%, minDCF 0.1200%, bestEER 1.72%, bestminDCF 0.1075%
26 epoch, LR 0.000467, LOSS 2.856221, ACC 48.66%, EER 1.74%, minDCF 0.1069%, bestEER 1.72%, bestminDCF 0.1069%
27 epoch, LR 0.000453, LOSS 2.830970, ACC 48.95%, EER 1.94%, minDCF 0.1240%, bestEER 1.72%, bestminDCF 0.1069%
28 epoch, LR 0.000439, LOSS 2.808074, ACC 49.39%, EER 1.88%, minDCF 0.1152%, bestEER 1.72%, bestminDCF 0.1069%
29 epoch, LR 0.000426, LOSS 2.783250, ACC 49.72%, EER 1.75%, minDCF 0.1181%, bestEER 1.72%, bestminDCF 0.1069%
30 epoch, LR 0.000413, LOSS 2.759159, ACC 50.12%, EER 1.59%, minDCF 0.1031%, bestEER 1.59%, bestminDCF 0.1031%
31 epoch, LR 0.000401, LOSS 2.731701, ACC 50.58%, EER 1.68%, minDCF 0.1079%, bestEER 1.59%, bestminDCF 0.1031%
32 epoch, LR 0.000389, LOSS 2.710171, ACC 50.88%, EER 1.73%, minDCF 0.1099%, bestEER 1.59%, bestminDCF 0.1031%
33 epoch, LR 0.000377, LOSS 2.687775, ACC 51.28%, EER 1.65%, minDCF 0.1072%, bestEER 1.59%, bestminDCF 0.1031%
34 epoch, LR 0.000366, LOSS 2.668854, ACC 51.59%, EER 1.59%, minDCF 0.0985%, bestEER 1.59%, bestminDCF 0.0985%
35 epoch, LR 0.000355, LOSS 2.649166, ACC 51.83%, EER 1.66%, minDCF 0.1112%, bestEER 1.59%, bestminDCF 0.0985%
36 epoch, LR 0.000344, LOSS 2.628215, ACC 52.31%, EER 1.68%, minDCF 0.1065%, bestEER 1.59%, bestminDCF 0.0985%
37 epoch, LR 0.000334, LOSS 2.603859, ACC 52.62%, EER 1.81%, minDCF 0.1141%, bestEER 1.59%, bestminDCF 0.0985%
38 epoch, LR 0.000324, LOSS 2.583701, ACC 52.94%, EER 1.53%, minDCF 0.0927%, bestEER 1.53%, bestminDCF 0.0927%
39 epoch, LR 0.000314, LOSS 2.568547, ACC 53.21%, EER 1.55%, minDCF 0.0935%, bestEER 1.53%, bestminDCF 0.0927%
40 epoch, LR 0.000305, LOSS 2.551014, ACC 53.51%, EER 1.55%, minDCF 0.0965%, bestEER 1.53%, bestminDCF 0.0927%
41 epoch, LR 0.000296, LOSS 2.530154, ACC 53.89%, EER 1.61%, minDCF 0.1056%, bestEER 1.53%, bestminDCF 0.0927%
42 epoch, LR 0.000287, LOSS 2.513076, ACC 54.09%, EER 1.58%, minDCF 0.1000%, bestEER 1.53%, bestminDCF 0.0927%
43 epoch, LR 0.000278, LOSS 2.497593, ACC 54.35%, EER 1.62%, minDCF 0.0974%, bestEER 1.53%, bestminDCF 0.0927%
44 epoch, LR 0.000270, LOSS 2.477552, ACC 54.70%, EER 1.53%, minDCF 0.0913%, bestEER 1.53%, bestminDCF 0.0913%
45 epoch, LR 0.000262, LOSS 2.459652, ACC 54.99%, EER 1.63%, minDCF 0.1036%, bestEER 1.53%, bestminDCF 0.0913%
46 epoch, LR 0.000254, LOSS 2.447631, ACC 55.20%, EER 1.68%, minDCF 0.1077%, bestEER 1.53%, bestminDCF 0.0913%
47 epoch, LR 0.000246, LOSS 2.431616, ACC 55.44%, EER 1.56%, minDCF 0.1004%, bestEER 1.53%, bestminDCF 0.0913%
48 epoch, LR 0.000239, LOSS 2.414837, ACC 55.78%, EER 1.46%, minDCF 0.0953%, bestEER 1.46%, bestminDCF 0.0913%
49 epoch, LR 0.000232, LOSS 2.400280, ACC 55.98%, EER 1.63%, minDCF 0.1026%, bestEER 1.46%, bestminDCF 0.0913%
50 epoch, LR 0.000225, LOSS 2.384549, ACC 56.29%, EER 1.44%, minDCF 0.0841%, bestEER 1.44%, bestminDCF 0.0841%
51 epoch, LR 0.000218, LOSS 2.368321, ACC 56.54%, EER 1.40%, minDCF 0.0917%, bestEER 1.40%, bestminDCF 0.0841%
52 epoch, LR 0.000212, LOSS 2.353683, ACC 56.78%, EER 1.46%, minDCF 0.0935%, bestEER 1.40%, bestminDCF 0.0841%
53 epoch, LR 0.000205, LOSS 2.339164, ACC 57.04%, EER 1.46%, minDCF 0.0987%, bestEER 1.40%, bestminDCF 0.0841%
54 epoch, LR 0.000199, LOSS 2.326654, ACC 57.25%, EER 1.61%, minDCF 0.0993%, bestEER 1.40%, bestminDCF 0.0841%
55 epoch, LR 0.000193, LOSS 2.311998, ACC 57.50%, EER 1.51%, minDCF 0.0880%, bestEER 1.40%, bestminDCF 0.0841%
56 epoch, LR 0.000187, LOSS 2.301323, ACC 57.69%, EER 1.43%, minDCF 0.0901%, bestEER 1.40%, bestminDCF 0.0841%
57 epoch, LR 0.000182, LOSS 2.285392, ACC 58.02%, EER 1.38%, minDCF 0.0926%, bestEER 1.38%, bestminDCF 0.0841%
58 epoch, LR 0.000176, LOSS 2.270579, ACC 58.19%, EER 1.40%, minDCF 0.0947%, bestEER 1.38%, bestminDCF 0.0841%
59 epoch, LR 0.000171, LOSS 2.257119, ACC 58.45%, EER 1.41%, minDCF 0.0882%, bestEER 1.38%, bestminDCF 0.0841%
60 epoch, LR 0.000166, LOSS 2.245155, ACC 58.64%, EER 1.35%, minDCF 0.0905%, bestEER 1.35%, bestminDCF 0.0841%
61 epoch, LR 0.000161, LOSS 2.233697, ACC 58.86%, EER 1.48%, minDCF 0.0887%, bestEER 1.35%, bestminDCF 0.0841%
62 epoch, LR 0.000156, LOSS 2.220699, ACC 59.07%, EER 1.44%, minDCF 0.0913%, bestEER 1.35%, bestminDCF 0.0841%
63 epoch, LR 0.000151, LOSS 2.208669, ACC 59.23%, EER 1.51%, minDCF 0.0957%, bestEER 1.35%, bestminDCF 0.0841%
64 epoch, LR 0.000147, LOSS 2.200373, ACC 59.45%, EER 1.36%, minDCF 0.0833%, bestEER 1.35%, bestminDCF 0.0833%
65 epoch, LR 0.000142, LOSS 2.186259, ACC 59.61%, EER 1.39%, minDCF 0.0863%, bestEER 1.35%, bestminDCF 0.0833%
66 epoch, LR 0.000138, LOSS 2.172723, ACC 59.90%, EER 1.33%, minDCF 0.0871%, bestEER 1.33%, bestminDCF 0.0833%
